website,status,cms,load_time_sec
https://www.wempe.com/en-us/showrooms/new-york-5th-avenue,403,Unknown,0.44
https://www.londonjewelers.com/locations,"HTTPSConnectionPool(host='www.londonjewelers.com', port=443): Max retries exceeded with url: /locations (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000259C11B1E80>, 'Connection to www.londonjewelers.com timed out. (connect timeout=5)'))",Error,
https://loveadorned.com/,200,Shopify,0.74
https://www.tiffany.com/jewelry-stores/new-york-soho/,403,Unknown,0.4
https://www.yelp.com/search?find_desc=jewellery+shops&find_loc=New+York%2C+NY,403,Unknown,0.23
https://www.cartier.com/en-us/home,"HTTPSConnectionPool(host='www.cartier.com', port=443): Read timed out. (read timeout=5)",Error,
https://www.sohogem.com/,200,Unknown,1.71
https://stores.cartier.com/en_us/united-states/ny/new-york,200,Unknown,0.52
https://www.nyc.com/nyc-guides/best_jewelry_stores_in_new_york.75/,403,Unknown,0.3
https://www.macys.com/,403,Unknown,0.57
https://queensdiamond.com/,"HTTPSConnectionPool(host='queensdiamond.com', port=443): Read timed out.",Error,
https://diamantinyc.com/,200,Shopify,0.71
https://thesevenwestvillage.com/,200,Shopify,0.68
https://stores.pandora.net/en-us/ny/newyork/pandora-jewelry-us15ee52c8.html,"HTTPSConnectionPool(host='stores.pandora.net', port=443): Max retries exceeded with url: /en-us/ny/newyork/pandora-jewelry-us15ee52c8.html (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x00000259BF2C5C10>, 'Connection to stores.pandora.net timed out. (connect timeout=5)'))",Unknown,
https://www.kundanjewelersny.com/,200,Wix,0.6
https://jewelryexchange.com/,403,Unknown,0.34
https://www.mollysjewelers.com/,200,Unknown,2.49
https://www.yelp.com/search?cflt=jewelry&find_loc=Manhattan%2C+NY,403,Unknown,0.41
https://www.discoverwalks.com/blog/united-states/20-famous-jewelry-stores-in-new-york/,403,Unknown,0.43
https://www.catbirdnyc.com/our-locations,403,Unknown,0.36
https://stores.pandora.net/en-us/ny/brooklyn/pandora-jewelry-us847047a7.html,200,Unknown,3.15
https://www.lagos.com/pages/store-locator,200,Shopify,1.32
https://pippinvintage.com/,200,Shopify,1.43
https://instoremag.com/america-s-oldest-jewelry-stores/,200,WordPress,2.61
https://www.tiffany.com/jewelry-stores/store-list/united-states/,403,Unknown,0.28
https://www.westchesterjewelry.com/,200,Unknown,1.53
https://www.shaneco.com/,200,Unknown,3.24
https://www.aabhushanonline.com/,200,Shopify,1.33
https://www.pomellato.com/,403,Unknown,0.49
https://www.jamesallen.com/,403,Unknown,0.52
https://www.crunchbase.com/organization/elizabeth-s-jewelry-and-fine-gifts,403,Unknown,0.36
https://josephjacobjewelers.com/,200,WordPress,5.12
https://www.laurenbjewelry.com/newyork-diamond-district,403,Unknown,0.38
https://idjewelry.com/,403,Unknown,1.7
https://stores.pandora.net/en-us/ny/newhartford/pandora-jewelry-usa34c80e4.html,200,Unknown,6.03
https://roen.nyc/,200,Shopify,1.23
https://www.timeout.com/newyork/shopping/the-best-jewelry-stores-in-new-york,200,Unknown,1.58
https://www.wempe.com/en-us/,403,Unknown,0.6
https://www.courtesyindia.com/usa/indian-jewelry-stores/new-york/new-york,200,Unknown,3.56
https://www.gorjana.com/pages/west-village-store-details,200,Shopify,2.24
https://stores.pandora.net/en-us/ny/newyork/,200,Unknown,2.44
https://www.mikimotoamerica.com/,200,Unknown,0.54
